timestamp,level,logger,message,user_id,chat_id,message_id,handler
"2025-10-06 10:42:32,909",INFO,database,Database initialized at: D:\Games\faq_bot\data\analytics.db,,,,
"2025-10-06 10:42:32,910",INFO,database,Database schema initialized successfully,,,,
"2025-10-06 10:42:32,911",INFO,faq_loader,FAQ Loader initialized with model: ai-forever/ru-en-RoSBERTa,,,,
"2025-10-06 10:42:32,911",INFO,faq_loader,Loading FAQ from: D:\Games\faq_bot\data\faq.json,,,,
"2025-10-06 10:42:32,912",INFO,faq_loader,"FAQ loaded successfully: 34 items, 168 total queries (including variations) in 0.00 seconds",,,,
"2025-10-06 10:42:32,914",INFO,faq_loader,Loading sentence transformer model: ai-forever/ru-en-RoSBERTa,,,,
"2025-10-06 10:42:32,917",INFO,sentence_transformers.SentenceTransformer,Use pytorch device_name: cpu,,,,
"2025-10-06 10:42:32,917",INFO,sentence_transformers.SentenceTransformer,Load pretrained SentenceTransformer: ai-forever/ru-en-RoSBERTa,,,,
"2025-10-06 10:42:39,579",INFO,sentence_transformers.SentenceTransformer,"4 prompts are loaded, with the keys: ['classification', 'search_query', 'search_document', 'clustering']",,,,
"2025-10-06 10:42:39,580",INFO,faq_loader,Model loaded successfully in 6.67 seconds,,,,
"2025-10-06 10:42:39,580",INFO,faq_loader,Creating new embeddings and index...,,,,
"2025-10-06 10:42:39,581",INFO,faq_loader,Encoding 168 queries with batch size 16,,,,
"2025-10-06 10:42:48,381",INFO,faq_loader,"Created embeddings with shape: (168, 1024)",,,,
"2025-10-06 10:42:48,385",INFO,faq_loader,Embeddings cached to D:\Games\faq_bot\cache\faq_embeddings.pkl,,,,
"2025-10-06 10:42:48,385",INFO,faq_loader,Index cached to D:\Games\faq_bot\cache\faq_index.faiss,,,,
"2025-10-06 10:42:48,385",INFO,faq_loader,Embeddings created successfully in 15.47 seconds,,,,
"2025-10-06 10:42:48,386",INFO,root,Бот запущен и готов к работе,,,,
